iso,unix,eui,x,y,z,dx,dy,dz,ecef_x,ecef_y,ecef_z,wgs84_lat,wgs84_lon,wgs84_alt,wgs84_heading,wgs84_speed
2017-04-24_10-43-50,1493030630.758215,deca010000000003,0.565,-1.884,0.489,-0.249,-1.236,-0.062,51.491452742415,7.412222311270,0.489,226.585,0.026,
2017-04-24_10-43-50,1493030630.768719,deca010000000004,1.931,1.954,0.495,0.020,0.309,-0.024,51.491473859892,7.412270240452,0.495,38.853,0.008,
2017-04-24_10-43-50,1493030630.781738,deca010000000003,0.635,-1.844,0.484,0.124,-0.880,-0.080,51.491452680081,7.412223473463,0.484,207.177,0.021,
2017-04-24_10-43-50,1493030630.792578,deca010000000003,0.675,-1.814,0.480,0.309,-0.691,-0.097,51.491452686183,7.412224189276,0.480,191.093,0.008,
2017-04-24_10-43-50,1493030630.801851,deca010000000005,1.385,0.213,0.491,0.497,0.785,-0.043,51.491463896824,7.412249368517,0.491,67.518,0.047,
2017-04-24_10-43-50,1493030630.803479,deca010000000004,1.949,1.976,0.492,0.101,0.366,-0.032,51.491473935379,7.412270628068,0.492,50.598,0.013,
2017-04-24_10-43-50,1493030630.805857,deca010000000003,0.714,-1.796,0.475,0.469,-0.565,-0.117,51.491452618058,7.412224793334,0.475,175.477,0.010,
2017-04-24_10-43-50,1493030630.816163,deca010000000005,1.389,0.205,0.488,0.477,0.682,-0.054,51.491463821558,7.412249342288,0.488,70.147,0.012,
2017-04-24_10-43-50,1493030630.830840,deca010000000003,0.767,-1.794,0.467,0.651,-0.496,-0.140,51.491452361232,7.412225442269,0.467,162.470,0.020,
2017-04-24_10-43-50,1493030630.841554,deca010000000005,1.413,0.205,0.484,0.538,0.599,-0.070,51.491463699074,7.412249627592,0.484,77.116,0.020,
2017-04-24_10-43-50,1493030630.848693,deca010000000004,1.970,1.983,0.489,0.174,0.328,-0.039,51.491473874397,7.412270937010,0.489,63.096,0.017,
2017-04-24_10-43-50,1493030630.866532,deca010000000004,1.993,1.989,0.485,0.253,0.329,-0.050,51.491473802419,7.412271255743,0.485,72.723,0.007,
2017-04-24_10-43-50,1493030630.870264,deca010000000005,1.427,0.202,0.478,0.533,0.505,-0.088,51.491463599719,7.412249771474,0.478,81.716,0.021,
2017-04-24_10-43-50,1493030630.884194,deca010000000003,0.831,-1.813,0.453,0.766,-0.473,-0.166,51.491451891594,7.412226031764,0.453,156.905,0.048,
2017-04-24_10-43-51,1493030631.025163,deca010000000003,0.830,-1.790,0.439,0.673,-0.329,-0.200,51.491452064652,7.412226215984,0.439,151.236,0.106,
2017-04-24_10-43-51,1493030631.028860,deca010000000004,1.992,1.997,0.479,0.228,0.327,-0.067,51.491473859653,7.412271302845,0.479,69.997,0.065,
2017-04-24_10-43-51,1493030631.028860,deca010000000005,1.414,0.209,0.471,0.427,0.490,-0.109,51.491463719324,7.412249666545,0.471,76.289,0.103,
