iso,unix,id,motive_x,motive_y,motive_z,motive_vx,motive_vy,motive_vz,motive_ax,motive_ay,motive_az,motiveSlow_x,motiveSlow_y,motiveSlow_z,motiveSlow_vx,motiveSlow_vy,motiveSlow_vz,motiveSlow_ax,motiveSlow_ay,motiveSlow_az,atlas_x,atlas_y,atlas_z,atlas_vx,atlas_vy,atlas_vz,atlas_ax,atlas_ay,atlas_az,odom_x,odom_y,odom_z,odom_vx,odom_vy,odom_vz,odom_ax,odom_ay,odom_az,motive_roll,motive_pitch,motive_yaw,motive_qx,motive_qy,motive_qz,motive_qw,odom_roll,odom_pitch,odom_yaw,odom_qx,odom_qy,odom_qz,odom_qw,way_x,way_y,way_z,way_a,pos_ox,pos_oy,pos_lx,pos_ly,pos_px,pos_py,pos_ix,pos_iy,pos_dx,pos_dy,vel_ox,vel_oy,vel_lx,vel_ly,vel_px,vel_py,vel_ix,vel_iy,vel_dx,vel_dy,
2017-02-12_16-31-53,1486917113.744554,1,1.143,0.098,1.029,-0.0102,-0.3341,0.0015,-0.1001,-0.0749,0.1907,1.143,0.101,1.029,-0.0084,-0.3352,0.0007,-0.0076,0.0526,0.0486,1.143,0.136,1.202,0.0339,-0.5562,0.0377,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0222,-0.0075,-0.0052,-0.0037,0.0111,-0.0025,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.034443,-1.161372,0.011858,-0.399824,0.034443,-1.161372,0.000000,-0.000000,0.000000,-0.000000,0.004908,-0.023982,0.004908,-0.023982,0.004674,-0.022840,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.754554,1,1.143,0.095,1.029,-0.0071,-0.3365,0.0013,0.3052,-0.2440,-0.0286,1.143,0.101,1.029,-0.0084,-0.3352,0.0007,-0.0076,0.0526,0.0486,1.143,0.136,1.202,0.0339,-0.5562,0.0377,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0226,-0.0077,-0.0051,-0.0038,0.0113,-0.0025,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.034443,-1.161372,0.011858,-0.399824,0.034443,-1.161372,0.000000,-0.000000,0.000000,-0.000000,0.004908,-0.023982,0.004908,-0.023982,0.004674,-0.022840,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.764552,1,1.143,0.091,1.029,-0.0066,-0.3344,0.0038,0.0548,0.2141,0.2551,1.143,0.101,1.029,-0.0084,-0.3352,0.0007,-0.0076,0.0526,0.0486,1.143,0.136,1.202,0.0339,-0.5562,0.0377,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0232,-0.0079,-0.0051,-0.0039,0.0116,-0.0025,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.034443,-1.161372,0.011858,-0.399824,0.034443,-1.161372,0.000000,-0.000000,0.000000,-0.000000,0.004908,-0.023982,0.004908,-0.023982,0.004674,-0.022840,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.774562,1,1.143,0.088,1.029,-0.0041,-0.3337,0.0014,0.2420,0.0647,-0.2372,1.143,0.088,1.029,-0.0070,-0.3347,0.0020,0.0345,0.0138,0.0315,1.143,0.136,1.202,0.0339,-0.5562,0.0377,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0234,-0.0078,-0.0051,-0.0039,0.0117,-0.0025,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.034443,-1.161372,0.011858,-0.399824,0.034443,-1.161372,0.000000,-0.000000,0.000000,-0.000000,0.004908,-0.023982,0.004908,-0.023982,0.004674,-0.022840,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.784565,1,1.143,0.081,1.029,-0.0015,-0.3320,0.0040,0.2277,0.1577,-0.1895,1.143,0.088,1.029,-0.0070,-0.3347,0.0020,0.0345,0.0138,0.0315,1.143,0.136,1.202,0.0339,-0.5562,0.0377,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0234,-0.0078,-0.0047,-0.0039,0.0117,-0.0023,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.034443,-1.161372,0.011858,-0.399824,0.034443,-1.161372,0.000000,-0.000000,0.000000,-0.000000,0.004908,-0.023982,0.004908,-0.023982,0.004674,-0.022840,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.794567,1,1.143,0.078,1.029,-0.0001,-0.3319,0.0009,0.1383,0.0079,-0.3052,1.143,0.088,1.029,-0.0070,-0.3347,0.0020,0.0345,0.0138,0.0315,1.143,0.136,1.202,0.0339,-0.5562,0.0377,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0239,-0.0079,-0.0045,-0.0039,0.0119,-0.0022,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.034443,-1.161372,0.011858,-0.399824,0.034443,-1.161372,0.000000,-0.000000,0.000000,-0.000000,0.004908,-0.023982,0.004908,-0.023982,0.004674,-0.022840,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.804562,1,1.143,0.075,1.029,-0.0026,-0.3315,0.0033,-0.2468,0.0449,0.2420,1.143,0.075,1.029,-0.0020,-0.3322,0.0035,0.1248,0.0607,0.0382,1.149,0.128,1.190,0.0555,-0.5532,0.0158,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0243,-0.0079,-0.0044,-0.0039,0.0122,-0.0021,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.034443,-1.161372,0.011858,-0.399824,0.034443,-1.161372,0.000000,-0.000000,0.000000,-0.000000,0.004908,-0.023982,0.004908,-0.023982,0.004674,-0.022840,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.814552,1,1.143,0.071,1.029,-0.0051,-0.3351,0.0039,-0.2480,-0.3664,0.0548,1.143,0.075,1.029,-0.0020,-0.3322,0.0035,0.1248,0.0607,0.0382,1.149,0.128,1.190,0.0555,-0.5532,0.0158,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0245,-0.0078,-0.0044,-0.0039,0.0122,-0.0021,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.030701,-1.156942,0.010611,-0.399859,0.030701,-1.156942,0.000000,-0.000000,0.000000,-0.000000,0.004409,-0.023996,0.004409,-0.023996,0.004175,-0.022854,0.000000,-0.000000,0.000234,-0.001142,
2017-02-12_16-31-53,1486917113.824525,1,1.143,0.065,1.029,-0.0068,-0.3327,0.0031,0.0918,-0.0258,0.0334,1.143,0.075,1.029,-0.0020,-0.3322,0.0035,0.1248,0.0607,0.0382,1.153,0.114,1.181,0.0657,-0.5541,0.0013,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0252,-0.0077,-0.0041,-0.0038,0.0126,-0.0020,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.030701,-1.156942,0.010611,-0.399859,0.030701,-1.156942,0.000000,-0.000000,0.000000,-0.000000,0.004384,-0.023997,0.004384,-0.023997,0.004175,-0.022854,0.000000,-0.000000,0.000209,-0.001143,
2017-02-12_16-31-53,1486917113.834551,1,1.143,0.061,1.029,-0.0039,-0.3315,-0.0041,0.2885,0.1229,-0.7224,1.143,0.061,1.029,-0.0059,-0.3329,0.0014,-0.0971,-0.0171,-0.0536,1.153,0.114,1.181,0.0657,-0.5541,0.0013,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0258,-0.0076,-0.0041,-0.0038,0.0129,-0.0020,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.028346,-1.148118,0.009873,-0.399878,0.028346,-1.148118,0.000000,-0.000000,0.000000,-0.000000,0.004089,-0.024005,0.004089,-0.024005,0.003880,-0.022862,0.000000,-0.000000,0.000209,-0.001143,
